tweets,,,,,,,,,,,tweets ,,,,,username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,
"karenagold;2015-04-29 18:59;1;0;""Scheduled to burn today never mind wildlife @ GreatForestNP @ LisanevilleMP # loggingburn # pollution # climatechange pic.twitter.com/ZzgPChijiu"";;@ @;# # #;""593565222129967105"";https://twitter.com/karenagold/status/593565222129967105 ",,,,,,,,,,,"karenagold;2015-04-29 18:59;1;0;""Scheduled to burn today never mind wildlife @ GreatForestNP @ LisanevilleMP # loggingburn # pollution # climatechange pic.twitter.com/ZzgPChijiu"";;@ @;# # #;""593565222129967105"";https://twitter.com/karenagold/status/593565222129967105  ",,,,,"karenagold;2015-04-29 18:59;1;0;""Scheduled to burn today never mind wildlife @ GreatForestNP @ LisanevilleMP # loggingburn # pollution # climatechange pic.twitter.com/ZzgPChijiu"";;@ @;# # #;""593565222129967105"";https://twitter.com/karenagold/status/593565222129967105",,,
"dflessner1;2015-04-29 18:59;0;0;""Former Bush EPA chief says Watts Bar  nuclear power helps deal with climate change http://www.timesfreepress.com/news/business/aroundregion/story/2015/apr/29/former-bush-epa-chief-says-watts-bar-nuclear-power-helps-deal-climate-change/301490/ … via @ timesfreepress"";;@;;""593565174445015040"";https://twitter.com/dflessner1/status/593565174445015040",,,,,,,,,,,"dflessner1;2015-04-29 18:59;0;0;""Former Bush EPA chief says Watts Bar  nuclear power helps deal with climate change http://www.timesfreepress.com/news/business/aroundregion/story/2015/apr/29/former-bush-epa-chief-says-watts-bar-nuclear-power-helps-deal-climate-change/301490/ … via @ timesfreepress"";;@;;""593565174445015040"";https://twitter.com/dflessner1/status/593565174445015040 ",,,,,"dflessner1;2015-04-29 18:59;0;0;""Former Bush EPA chief says Watts Bar"," nuclear power helps deal with climate change http://www.timesfreepress.com/news/business/aroundregion/story/2015/apr/29/former-bush-epa-chief-says-watts-bar-nuclear-power-helps-deal-climate-change/301490/ … via @ timesfreepress"";;@;;""593565174445015040"";https://twitter.com/dflessner1/status/593565174445015040",,
"tomfeyer;2015-04-29 18:58;1;0;""Beyond the # Pope’s Message on # Climate Change http://nyti.ms/1zrf7HN # NYTLetters # Catholic # Church"";;;# # # # #;""593565164307230721"";https://twitter.com/tomfeyer/status/593565164307230721 ",,,,,,,,,,,"tomfeyer;2015-04-29 18:58;1;0;""Beyond the # Pope’s Message on # Climate Change http://nyti.ms/1zrf7HN # NYTLetters # Catholic # Church"";;;# # # # #;""593565164307230721"";https://twitter.com/tomfeyer/status/593565164307230721  ",,,,,"tomfeyer;2015-04-29 18:58;1;0;""Beyond the # Pope’s Message on # Climate Change http://nyti.ms/1zrf7HN # NYTLetters # Catholic # Church"";;;# # # # #;""593565164307230721"";https://twitter.com/tomfeyer/status/593565164307230721",,,
"OandG_Advice;2015-04-29 18:58;0;0;""Invisible organisms threaten to make climate change much worse http://bit.ly/1duHESV"";;;;""593565130765373440"";https://twitter.com/OandG_Advice/status/593565130765373440 ",,,,,,,,,,,"OandG_Advice;2015-04-29 18:58;0;0;""Invisible organisms threaten to make climate change much worse http://bit.ly/1duHESV"";;;;""593565130765373440"";https://twitter.com/OandG_Advice/status/593565130765373440  ",,,,,"OandG_Advice;2015-04-29 18:58;0;0;""Invisible organisms threaten to make climate change much worse http://bit.ly/1duHESV"";;;;""593565130765373440"";https://twitter.com/OandG_Advice/status/593565130765373440",,,
"CorinnaThomas;2015-04-29 18:58;0;0;""CLIMATE CHANGE has been a concern 4 OVR 30 yrs.BUT BIG BUSINESS KEPT SWEEPING($$)IT UNDER THE RUG! U QUESTION WHERE THEIR INTERE$$$$$T LIES?"";;;;""593565116693499904"";https://twitter.com/CorinnaThomas/status/593565116693499904 ",,,,,,,,,,,"CorinnaThomas;2015-04-29 18:58;0;0;""CLIMATE CHANGE has been a concern 4 OVR 30 yrs.BUT BIG BUSINESS KEPT SWEEPING($$)IT UNDER THE RUG! U QUESTION WHERE THEIR INTERE$$$$$T LIES?"";;;;""593565116693499904"";https://twitter.com/CorinnaThomas/status/593565116693499904  ",,,,,"CorinnaThomas;2015-04-29 18:58;0;0;""CLIMATE CHANGE has been a concern 4 OVR 30 yrs.BUT BIG BUSINESS KEPT SWEEPING($$)IT UNDER THE RUG! U QUESTION WHERE THEIR INTERE$$$$$T LIES?"";;;;""593565116693499904"";https://twitter.com/CorinnaThomas/status/593565116693499904",,,
"WendyMikeyJ;2015-04-29 18:58;0;0;""Connie got a good job fighting # climatechange  & it's just the beginning. http://bit.ly/1DWhFZU # UpLiftCA # AB32 @ CAdelivers @ Greenlining"";;@ @;# # #;""593565022770495488"";https://twitter.com/WendyMikeyJ/status/593565022770495488",,,,,,,,,,,"WendyMikeyJ;2015-04-29 18:58;0;0;""Connie got a good job fighting # climatechange  & it's just the beginning. http://bit.ly/1DWhFZU # UpLiftCA # AB32 @ CAdelivers @ Greenlining"";;@ @;# # #;""593565022770495488"";https://twitter.com/WendyMikeyJ/status/593565022770495488 ",,,,,"WendyMikeyJ;2015-04-29 18:58;0;0;""Connie got a good job fighting # climatechange"," & it's just the beginning. http://bit.ly/1DWhFZU # UpLiftCA # AB32 @ CAdelivers @ Greenlining"";;@ @;# # #;""593565022770495488"";https://twitter.com/WendyMikeyJ/status/593565022770495488",,
"MAGA_Mack;2015-04-29 18:58;0;0;""@ DB_COOPER79 If the GOP had just acted on ""global warming"" errr ""climate change"" the economy would be booming!"";;@;;""593564990998740992"";https://twitter.com/MAGA_Mack/status/593564990998740992 ",,,,,,,,,,,"MAGA_Mack;2015-04-29 18:58;0;0;""@ DB_COOPER79 If the GOP had just acted on ""global warming"" errr ""climate change"" the economy would be booming!"";;@;;""593564990998740992"";https://twitter.com/MAGA_Mack/status/593564990998740992  ",,,,,"MAGA_Mack;2015-04-29 18:58;0;0;""@ DB_COOPER79 If the GOP had just acted on ""global warming"" errr ""climate change"" the economy would be booming!"";;@;;""593564990998740992"";https://twitter.com/MAGA_Mack/status/593564990998740992",,,
"3novicesSydney;2015-04-29 18:58;1;0;""3Novices:Climate change a risk to health: report http://ift.tt/1JBYfkX  Australian Academy of Science warns of food security and diseases…"";;;;""593564969863614464"";https://twitter.com/3novicesSydney/status/593564969863614464 ",,,,,,,,,,,"3novicesSydney;2015-04-29 18:58;1;0;""3Novices:Climate change a risk to health: report http://ift.tt/1JBYfkX  Australian Academy of Science warns of food security and diseases…"";;;;""593564969863614464"";https://twitter.com/3novicesSydney/status/593564969863614464  ",,,,,"3novicesSydney;2015-04-29 18:58;1;0;""3Novices:Climate change a risk to health: report http://ift.tt/1JBYfkX  Australian Academy of Science warns of food security and diseases…"";;;;""593564969863614464"";https://twitter.com/3novicesSydney/status/593564969863614464",,,
"NewsClimate;2015-04-29 18:57;2;1;""Human rights focus can strengthen Paris climate deal http://bit.ly/1duHtqy # climate # change"";;;# #;""593564881103687680"";https://twitter.com/NewsClimate/status/593564881103687680 ",,,,,,,,,,,"NewsClimate;2015-04-29 18:57;2;1;""Human rights focus can strengthen Paris climate deal http://bit.ly/1duHtqy # climate # change"";;;# #;""593564881103687680"";https://twitter.com/NewsClimate/status/593564881103687680  ",,,,,"NewsClimate;2015-04-29 18:57;2;1;""Human rights focus can strengthen Paris climate deal http://bit.ly/1duHtqy # climate # change"";;;# #;""593564881103687680"";https://twitter.com/NewsClimate/status/593564881103687680",,,
"grist;2015-04-29 18:57;27;13;""Climate change is melting Arctic archaeological sites http://bit.ly/1zr7j93 pic.twitter.com/35oFBiqrnP"";;;;""593564864263643136"";https://twitter.com/grist/status/593564864263643136 ",,,,,,,,,,,"grist;2015-04-29 18:57;27;13;""Climate change is melting Arctic archaeological sites http://bit.ly/1zr7j93 pic.twitter.com/35oFBiqrnP"";;;;""593564864263643136"";https://twitter.com/grist/status/593564864263643136  ",,,,,"grist;2015-04-29 18:57;27;13;""Climate change is melting Arctic archaeological sites http://bit.ly/1zr7j93 pic.twitter.com/35oFBiqrnP"";;;;""593564864263643136"";https://twitter.com/grist/status/593564864263643136",,,
