tweets,a,b,c,d,e,f,g,h,i,f
"DroughtDoctor;2011-04-29 18:57;0;0;""Colleagues packaged the basic science of climate change into fake newspaper articles bearing two very different headlines—""Scientific Panel…"";;;;""64116222660313088"";https://twitter.com/DroughtDoctor/status/64116222660313088  ",,,,,"DroughtDoctor;2011-04-29 18:57;0;0;""Colleagues packaged the basic science of climate change into fake newspaper articles bearing two very different headlines—""Scientific Panel…"";;;;""64116222660313088"";https://twitter.com/DroughtDoctor/status/64116222660313088",,,,"DroughtDoctor;2011-04-29 18:57;0;0;""Colleagues packaged the basic science of climate change into fake newspaper articles bearing two very different headlines—""Scientific Panel…"";;;;""64116222660313088"";https://twitter.com/DroughtDoctor/status/64116222660313088 ",
"Innovation2;2011-04-29 18:56;0;0;""New Post: Stark warnings about the potential for rapid climate change hidden in ancient ice http://bit.ly/jzBI71"";;;;""64115774385696768"";https://twitter.com/Innovation2/status/64115774385696768  ",,,,,"Innovation2;2011-04-29 18:56;0;0;""New Post: Stark warnings about the potential for rapid climate change hidden in ancient ice http://bit.ly/jzBI71"";;;;""64115774385696768"";https://twitter.com/Innovation2/status/64115774385696768",,,,"Innovation2;2011-04-29 18:56;0;0;""New Post: Stark warnings about the potential for rapid climate change hidden in ancient ice http://bit.ly/jzBI71"";;;;""64115774385696768"";https://twitter.com/Innovation2/status/64115774385696768 ",
"mattstrand;2011-04-29 18:55;0;0;""This is an excellent video on climate change impacts in British Columbia...http://ekoscommunications.com/node/682"";;;;""64115731423436800"";https://twitter.com/mattstrand/status/64115731423436800  ",,,,,"mattstrand;2011-04-29 18:55;0;0;""This is an excellent video on climate change impacts in British Columbia...http://ekoscommunications.com/node/682"";;;;""64115731423436800"";https://twitter.com/mattstrand/status/64115731423436800",,,,"mattstrand;2011-04-29 18:55;0;0;""This is an excellent video on climate change impacts in British Columbia...http://ekoscommunications.com/node/682"";;;;""64115731423436800"";https://twitter.com/mattstrand/status/64115731423436800 ",
"Yolibeans;2011-04-29 18:55;0;0;""is now being recognised as one of the main causes of climate change. # rainforest"";;;#;""64115693917974528"";https://twitter.com/Yolibeans/status/64115693917974528  ",,,,,"Yolibeans;2011-04-29 18:55;0;0;""is now being recognised as one of the main causes of climate change. # rainforest"";;;#;""64115693917974528"";https://twitter.com/Yolibeans/status/64115693917974528",,,,"Yolibeans;2011-04-29 18:55;0;0;""is now being recognised as one of the main causes of climate change. # rainforest"";;;#;""64115693917974528"";https://twitter.com/Yolibeans/status/64115693917974528 ",
"EarthKnowledge;2011-04-29 18:55;0;0;""UNFCCC: Is climate change responsible for deadly U.S. tornadoes?: Source: Toronto Star - Giant tornadoes that killed... http://dlvr.it/Q8HkY"";;;;""64115510261985280"";https://twitter.com/EarthKnowledge/status/64115510261985280  ",,,,,"EarthKnowledge;2011-04-29 18:55;0;0;""UNFCCC: Is climate change responsible for deadly U.S. tornadoes?: Source: Toronto Star - Giant tornadoes that killed... http://dlvr.it/Q8HkY"";;;;""64115510261985280"";https://twitter.com/EarthKnowledge/status/64115510261985280",,,,"EarthKnowledge;2011-04-29 18:55;0;0;""UNFCCC: Is climate change responsible for deadly U.S. tornadoes?: Source: Toronto Star - Giant tornadoes that killed... http://dlvr.it/Q8HkY"";;;;""64115510261985280"";https://twitter.com/EarthKnowledge/status/64115510261985280 ",
"redTrends;2011-04-29 18:54;1;0;""Tornadoes whipped up by wind  not 'climate change'... http://bit.ly/jDIKdH"";;;;""64115474815926273"";https://twitter.com/redTrends/status/64115474815926273 ",,,,,"redTrends;2011-04-29 18:54;1;0;""Tornadoes whipped up by wind",," not 'climate change'... http://bit.ly/jDIKdH"";;;;""64115474815926273"";https://twitter.com/redTrends/status/64115474815926273",,"redTrends;2011-04-29 18:54;1;0;""Tornadoes whipped up by wind  not 'climate change'... http://bit.ly/jDIKdH"";;;;""64115474815926273"";https://twitter.com/redTrends/status/64115474815926273",
"DLoesch;2011-04-29 18:53;5;1;""Tornadoes whipped up by wind  not 'climate change'... http://pulsene.ws/1sC3K"";;;;""64115215645675520"";https://twitter.com/DLoesch/status/64115215645675520 ",,,,,"DLoesch;2011-04-29 18:53;5;1;""Tornadoes whipped up by wind",," not 'climate change'... http://pulsene.ws/1sC3K"";;;;""64115215645675520"";https://twitter.com/DLoesch/status/64115215645675520",,"DLoesch;2011-04-29 18:53;5;1;""Tornadoes whipped up by wind  not 'climate change'... http://pulsene.ws/1sC3K"";;;;""64115215645675520"";https://twitter.com/DLoesch/status/64115215645675520",
"salmaansana;2011-04-29 18:53;4;0;""“The biggest problem of the world is not climate change or overpopulation  the biggest problem is poor thinking” - Edward de Bono"";;;;""64115152571740160"";https://twitter.com/salmaansana/status/64115152571740160 ",,,,,"salmaansana;2011-04-29 18:53;4;0;""“The biggest problem of the world is not climate change or overpopulation",," the biggest problem is poor thinking” - Edward de Bono"";;;;""64115152571740160"";https://twitter.com/salmaansana/status/64115152571740160",,"salmaansana;2011-04-29 18:53;4;0;""“The biggest problem of the world is not climate change or overpopulation  the biggest problem is poor thinking” - Edward de Bono"";;;;""64115152571740160"";https://twitter.com/salmaansana/status/64115152571740160",
"powerful_ideas_;2011-04-29 18:53;0;0;""Telco backs fight vs climate change through white roofs: SMART Communications Inc. has backed a novel idea of pa... http://bit.ly/jS08mF"";;;;""64115115380838400"";https://twitter.com/powerful_ideas_/status/64115115380838400  ",,,,,"powerful_ideas_;2011-04-29 18:53;0;0;""Telco backs fight vs climate change through white roofs: SMART Communications Inc. has backed a novel idea of pa... http://bit.ly/jS08mF"";;;;""64115115380838400"";https://twitter.com/powerful_ideas_/status/64115115380838400",,,,"powerful_ideas_;2011-04-29 18:53;0;0;""Telco backs fight vs climate change through white roofs: SMART Communications Inc. has backed a novel idea of pa... http://bit.ly/jS08mF"";;;;""64115115380838400"";https://twitter.com/powerful_ideas_/status/64115115380838400 ",
"AutonomousUAV;2011-04-29 18:52;0;0;""Green: Could a Leaking Ocean Current Keep Europe Toasty? - New York Times (blog) http://nyti.ms/lKrX0L - # ClimateChange # Climate"";;;# #;""64114843736735744"";https://twitter.com/AutonomousUAV/status/64114843736735744  ",,,,,"AutonomousUAV;2011-04-29 18:52;0;0;""Green: Could a Leaking Ocean Current Keep Europe Toasty? - New York Times (blog) http://nyti.ms/lKrX0L - # ClimateChange # Climate"";;;# #;""64114843736735744"";https://twitter.com/AutonomousUAV/status/64114843736735744",,,,"AutonomousUAV;2011-04-29 18:52;0;0;""Green: Could a Leaking Ocean Current Keep Europe Toasty? - New York Times (blog) http://nyti.ms/lKrX0L - # ClimateChange # Climate"";;;# #;""64114843736735744"";https://twitter.com/AutonomousUAV/status/64114843736735744 ",
